city,state,station,latitude,longitude,pollution_date,year,month,quarter,season,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,source
Guwahati,,"Pan Bazaar, Guwahati - PCBA",26.1875,91.744194,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,288,283,,0,,1,18,33,18,,,,,,Realtime
Muzaffarpur,,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",26.1209,85.3647,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,48,,,19,,,36,6,28,,,,,,Realtime
Patna,,"Muradpur, Patna - BSPCB",25.619651,85.147382,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,49,,71,,,,,,Realtime
Patna,,"DRM Office Danapur, Patna - BSPCB",25.586562,85.043586,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,32,50,,31,,9,37,6,12,,,,,,Realtime
Patna,,"Samanpura, Patna - BSPCB",25.596727,85.085624,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,89,89,,18,,8,36,5,37,,,,,,Realtime
Patna,,"IGSC Planetarium Complex, Patna - BSPCB",25.610369,85.132568,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,60,,,3,,,46,40,59,,,,,,Realtime
Purnia,,"Mariam Nagar, Purnia - BSPCB",25.366336,87.117468,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,58,46,,6,,2,57,16,24,,,,,,Realtime
Chittoor,,"Gangineni Cheruvu, Chittoor - APPCB",13.20488,79.097889,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,64,65,,26,,7,21,19,47,,,,,,Realtime
Eluru,,"District Court, Eluru - APPCB",16.711754,81.092095,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,64,63,,15,,6,30,18,18,,,,,,Realtime
Guntur,,"Rajendra Nagar North, Guntur - APPCB",16.316553,80.413302,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,51,51,,32,,7,37,9,35,,,,,,Realtime
Kadapa,,"Yerramukkapalli, Kadapa - APPCB",14.465052,78.824187,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,18,,45,,,,,,Realtime
Kurnool,,"Sita Rama Nagar, Kurnool - APPCB",15.83411,78.028546,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,34,38,,26,,5,8,10,22,,,,,,Realtime
Machilipatnam,,"Srinivas Nagar Colony, Machilipatnam - APPCB",16.186555,81.13219,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,55,54,,20,,3,26,16,31,,,,,,Realtime
Nellore,,"Ambedkar Nagar, Nellore - APPCB",14.438164,79.966814,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,55,61,,24,,6,38,16,39,,,,,,Realtime
Rajamahendravaram,,"Anand Kala Kshetram, Rajamahendravaram - APPCB",16.9872867,81.7363176,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,45,,3,,1,26,5,25,,,,,,Realtime
Tirumala,,"Toll Gate, Tirumala - APPCB",13.67,79.35,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,23,31,,61,,2,23,6,18,,,,,,Realtime
Tirupati,,"Vaikuntapuram, Tirupati - APPCB",13.615387,79.40923,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,64,74,,33,,5,24,18,42,,,,,,Realtime
Vijayawada,,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,62,63,,12,,3,30,11,22,,,,,,Realtime
Vijayawada,,"Kanuru, Vijayawada - APPCB",16.486692,80.699436,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,,,,,,,25,,32,,,,,,Realtime
Bihar Sharif,,"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,64,40,,9,,3,,6,2,,,,,,Realtime
Gaya,,"Collectorate, Gaya - BSPCB",24.7955,84.9994,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,36,,,9,,,12,7,29,,,,,,Realtime
Gaya,,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,46,78,,12,,1,33,44,29,,,,,,Realtime
Katihar,,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,9,10,,2,,1,88,21,20,,,,,,Realtime
Munger,,"Town Hall, Munger - BSPCB",25.376776,86.471523,18-07-2026 21:00:00,NaN,NaN,NaN,Post-Monsoon,52,41,,5,,3,47,29,25,,,,,,Realtime
