city,station,pollutant_id,pollutant_avg,latitude,longitude,last_update
Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",SO2,6,26.1209,85.3647,09-07-2026 21:00:00
Patna,"Muradpur, Patna - BSPCB",CO,49,25.619651,85.147382,09-07-2026 21:00:00
Patna,"DRM Office Danapur, Patna - BSPCB",PM2.5,32,25.586562,85.043586,09-07-2026 21:00:00
Patna,"DRM Office Danapur, Patna - BSPCB",NO2,31,25.586562,85.043586,09-07-2026 21:00:00
Patna,"Samanpura, Patna - BSPCB",PM10,89,25.596727,85.085624,09-07-2026 21:00:00
Patna,"Samanpura, Patna - BSPCB",NO2,18,25.596727,85.085624,09-07-2026 21:00:00
Patna,"IGSC Planetarium Complex, Patna - BSPCB",PM2.5,60,25.610369,85.132568,09-07-2026 21:00:00
Patna,"IGSC Planetarium Complex, Patna - BSPCB",NO2,3,25.610369,85.132568,09-07-2026 21:00:00
Patna,"IGSC Planetarium Complex, Patna - BSPCB",SO2,40,25.610369,85.132568,09-07-2026 21:00:00
Purnia,"Mariam Nagar, Purnia - BSPCB",PM2.5,58,25.366336,87.117468,09-07-2026 21:00:00
Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",NO2,26,13.20488,79.097889,09-07-2026 21:00:00
Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",OZONE,47,13.20488,79.097889,09-07-2026 21:00:00
Eluru,"District Court, Eluru - APPCB",PM2.5,64,16.711754,81.092095,09-07-2026 21:00:00
Guntur,"Rajendra Nagar North, Guntur - APPCB",PM2.5,51,16.316553,80.413302,09-07-2026 21:00:00
Kadapa,"Yerramukkapalli, Kadapa - APPCB",PM10,,14.465052,78.824187,09-07-2026 21:00:00
Kadapa,"Yerramukkapalli, Kadapa - APPCB",CO,18,14.465052,78.824187,09-07-2026 21:00:00
Kurnool,"Sita Rama Nagar, Kurnool - APPCB",NH3,5,15.83411,78.028546,09-07-2026 21:00:00
Machilipatnam,"Srinivas Nagar Colony, Machilipatnam - APPCB",NO2,20,16.186555,81.13219,09-07-2026 21:00:00
Nellore,"Ambedkar Nagar, Nellore - APPCB",PM10,61,14.438164,79.966814,09-07-2026 21:00:00
Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NO2,3,16.9872867,81.7363176,09-07-2026 21:00:00
Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",NH3,1,16.9872867,81.7363176,09-07-2026 21:00:00
Tirumala,"Toll Gate, Tirumala - APPCB",NO2,61,13.67,79.35,09-07-2026 21:00:00
Tirupati,"Vaikuntapuram, Tirupati - APPCB",PM2.5,64,13.615387,79.40923,09-07-2026 21:00:00
Tirupati,"Vaikuntapuram, Tirupati - APPCB",NH3,5,13.615387,79.40923,09-07-2026 21:00:00
Tirupati,"Vaikuntapuram, Tirupati - APPCB",SO2,18,13.615387,79.40923,09-07-2026 21:00:00
Vijayawada,"HB Colony, Vijayawada - APPCB",NO2,12,16.536107,80.594233,09-07-2026 21:00:00
Vijayawada,"HB Colony, Vijayawada - APPCB",SO2,11,16.536107,80.594233,09-07-2026 21:00:00
Vijayawada,"Kanuru, Vijayawada - APPCB",OZONE,32,16.486692,80.699436,09-07-2026 21:00:00
Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",NO2,50,17.72,83.3,09-07-2026 21:00:00
Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",OZONE,20,25.265194,87.012947,09-07-2026 21:00:00
Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",PM2.5,64,25.204762,85.51496,09-07-2026 21:00:00
Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",OZONE,2,25.204762,85.51496,09-07-2026 21:00:00
Gaya,"Collectorate, Gaya - BSPCB",PM10,,24.7955,84.9994,09-07-2026 21:00:00
Gaya,"Collectorate, Gaya - BSPCB",SO2,7,24.7955,84.9994,09-07-2026 21:00:00
Gaya,"Kareemganj, Gaya - BSPCB",OZONE,29,24.792403,84.992416,09-07-2026 21:00:00
Katihar,"Mirchaibari, Katihar - BSPCB",PM2.5,9,25.560083,87.553265,09-07-2026 21:00:00
Munger,"Town Hall, Munger - BSPCB",NH3,3,25.376776,86.471523,09-07-2026 21:00:00
Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",PM2.5,34,26.1403345,85.3650192,09-07-2026 21:00:00
Amaravati,"Secretariat, Amaravati - APPCB",NH3,3,16.5150833,80.5181667,09-07-2026 21:00:00
Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",SO2,7,21.755417,72.139056,09-07-2026 21:00:00
Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",CO,80,21.755417,72.139056,09-07-2026 21:00:00
Gandhinagar,"Sector-10, Gandhinagar - GPCB",NH3,1,23.221714,72.654328,09-07-2026 21:00:00
Gandhinagar,"GIFT City, Gandhinagar - IITM",NO2,,23.163798,72.677768,09-07-2026 21:00:00
Gandhinagar,"GIFT City, Gandhinagar - IITM",CO,39,23.163798,72.677768,09-07-2026 21:00:00
Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",SO2,13,23.59315,72.372792,09-07-2026 21:00:00
Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",OZONE,9,23.59315,72.372792,09-07-2026 21:00:00
Rajkot,"Mavdi, Rajkot - Nexteng Enviro",PM10,60,22.248853,70.776774,09-07-2026 21:00:00
Rajkot,"Mavdi, Rajkot - Nexteng Enviro",NO2,57,22.248853,70.776774,09-07-2026 21:00:00
Rajkot,"Mavdi, Rajkot - Nexteng Enviro",OZONE,7,22.248853,70.776774,09-07-2026 21:00:00
Surat,"Katargam, Surat - Nexteng Enviro",CO,41,21.217779,72.834787,09-07-2026 21:00:00
Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",SO2,6,22.320153,73.216285,09-07-2026 21:00:00
Vatva,"Phase-4 GIDC, Vatva - GPCB",PM10,119,22.969611,72.6435,09-07-2026 21:00:00
Vatva,"Phase-4 GIDC, Vatva - GPCB",CO,34,22.969611,72.6435,09-07-2026 21:00:00
Ambala,"Patti Mehar, Ambala - HSPCB",PM10,82,30.379589,76.778328,09-07-2026 21:00:00
Delhi,"Pusa, Delhi - IITM",PM10,21,28.63611,77.173332,09-07-2026 21:00:00
Delhi,"Pusa, Delhi - IITM",OZONE,38,28.63611,77.173332,09-07-2026 21:00:00
Delhi,"Cantonment Area, Delhi - DPCC",NO2,17,28.594169,77.1251,09-07-2026 21:00:00
Delhi,"Cantonment Area, Delhi - DPCC",CO,52,28.594169,77.1251,09-07-2026 21:00:00
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",PM2.5,14,28.611281,77.237738,09-07-2026 21:00:00
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",CO,38,28.611281,77.237738,09-07-2026 21:00:00
Delhi,"Sonia Vihar, Delhi - DPCC",PM2.5,,28.710508,77.249485,09-07-2026 21:00:00
Delhi,"Sonia Vihar, Delhi - DPCC",PM10,13,28.710508,77.249485,09-07-2026 21:00:00
Delhi,"Bawana, Delhi - DPCC",PM10,85,28.7762,77.051074,09-07-2026 21:00:00
Delhi,"Bawana, Delhi - DPCC",SO2,4,28.7762,77.051074,09-07-2026 21:00:00
Delhi,"Nehru Nagar, Delhi - DPCC",NO2,20,28.56789,77.250515,09-07-2026 21:00:00
Delhi,"Nehru Nagar, Delhi - DPCC",NH3,10,28.56789,77.250515,09-07-2026 21:00:00
Delhi,"Patparganj, Delhi - DPCC",CO,43,28.623763,77.287209,09-07-2026 21:00:00
Delhi,"Patparganj, Delhi - DPCC",OZONE,14,28.623763,77.287209,09-07-2026 21:00:00
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",PM2.5,55,28.6811736,77.3025234,09-07-2026 21:00:00
Delhi,"Sri Aurobindo Marg, Delhi - DPCC",NO2,22,28.531346,77.190156,09-07-2026 21:00:00
Delhi,"Alipur, Delhi - DPCC",CO,25,28.815329,77.15301,09-07-2026 21:00:00
Delhi,"IMD Lodhi Road, Delhi - IITM",NH3,,28.5918245,77.2273074,09-07-2026 21:00:00
Delhi,"Burari Crossing, Delhi - IITM",PM10,,28.7256504,77.2011573,09-07-2026 21:00:00
Delhi,"Burari Crossing, Delhi - IITM",NH3,,28.7256504,77.2011573,09-07-2026 21:00:00
Delhi,"Narela, Delhi - DPCC",NO2,,28.822836,77.101981,09-07-2026 21:00:00
Delhi,"Narela, Delhi - DPCC",CO,39,28.822836,77.101981,09-07-2026 21:00:00
Delhi,"JNU, Delhi - DPCC",NH3,4,28.540721,77.168544,09-07-2026 21:00:00
Delhi,"CRRI Mathura Road, Delhi - IITM",NH3,,28.5512005,77.2735737,09-07-2026 21:00:00
Delhi,"CRRI Mathura Road, Delhi - IITM",OZONE,13,28.5512005,77.2735737,09-07-2026 21:00:00
Delhi,"Aya Nagar, Delhi - IITM",SO2,,28.4706914,77.1099364,09-07-2026 21:00:00
Delhi,"NSIT Dwarka, Delhi - CPCB",PM2.5,61,28.60909,77.0325413,09-07-2026 21:00:00
Delhi,"NSIT Dwarka, Delhi - CPCB",PM10,44,28.60909,77.0325413,09-07-2026 21:00:00
Delhi,"NSIT Dwarka, Delhi - CPCB",SO2,15,28.60909,77.0325413,09-07-2026 21:00:00
Delhi,"NSUT Jaffarpur, Delhi - DPCC",NO2,12,28.594004,76.909423,09-07-2026 21:00:00
Delhi,"NSUT Jaffarpur, Delhi - DPCC",OZONE,49,28.594004,76.909423,09-07-2026 21:00:00
Delhi,"Talkatora Garden, Delhi - DPCC",PM2.5,29,28.62181,77.1944633,09-07-2026 21:00:00
Ambala,"Patti Mehar, Ambala - HSPCB",NH3,7,30.379589,76.778328,09-07-2026 21:00:00
Ambala,"Patti Mehar, Ambala - HSPCB",CO,11,30.379589,76.778328,09-07-2026 21:00:00
Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",OZONE,25,28.6701,76.9254,09-07-2026 21:00:00
Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",PM2.5,90,28.3419248,77.319699,09-07-2026 21:00:00
Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",SO2,4,28.3419248,77.319699,09-07-2026 21:00:00
Bhiwani,"H.B. Colony, Bhiwani - HSPCB",PM2.5,65,28.806223,76.141105,09-07-2026 21:00:00
Bhiwani,"H.B. Colony, Bhiwani - HSPCB",PM10,65,28.806223,76.141105,09-07-2026 21:00:00
Faridabad,"New Industrial Town, Faridabad - HSPCB",PM2.5,83,28.39072,77.30059,09-07-2026 21:00:00
Faridabad,"New Industrial Town, Faridabad - HSPCB",NH3,11,28.39072,77.30059,09-07-2026 21:00:00
Faridabad,"Sector 30, Faridabad - HSPCB",PM10,,28.4417,77.3217,09-07-2026 21:00:00
Faridabad,"Sector 30, Faridabad - HSPCB",CO,60,28.4417,77.3217,09-07-2026 21:00:00
Faridabad,"Sector 11, Faridabad - HSPCB",CO,76,28.376058,77.315741,09-07-2026 21:00:00
Fatehabad,"Huda Sector, Fatehabad - HSPCB",NH3,14,29.503664,75.467934,09-07-2026 21:00:00
Delhi,"Talkatora Garden, Delhi - DPCC",NO2,16,28.62181,77.1944633,09-07-2026 21:00:00
Delhi,"Talkatora Garden, Delhi - DPCC",NH3,2,28.62181,77.1944633,09-07-2026 21:00:00
Delhi,"Talkatora Garden, Delhi - DPCC",OZONE,18,28.62181,77.1944633,09-07-2026 21:00:00
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",PM2.5,28,28.615828,77.271992,09-07-2026 21:00:00
Delhi,"Commonwealth Sports Complex, Delhi - DPCC",OZONE,10,28.615828,77.271992,09-07-2026 21:00:00
Delhi,"Punjabi Bagh, Delhi - DPCC",PM2.5,,28.674045,77.131023,09-07-2026 21:00:00
Delhi,"Punjabi Bagh, Delhi - DPCC",PM10,,28.674045,77.131023,09-07-2026 21:00:00
Delhi,"Punjabi Bagh, Delhi - DPCC",NO2,20,28.674045,77.131023,09-07-2026 21:00:00
Delhi,"Punjabi Bagh, Delhi - DPCC",NH3,4,28.674045,77.131023,09-07-2026 21:00:00
Delhi,"Shadipur, Delhi - CPCB",SO2,11,28.6514781,77.1473105,09-07-2026 21:00:00
Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",NO2,14,28.493624,77.201159,09-07-2026 21:00:00
Delhi,"IGI Airport (T3), Delhi - IITM",OZONE,60,28.5627763,77.1180053,09-07-2026 21:00:00
Delhi,"Chandni Chowk, Delhi - IITM",PM2.5,,28.656756,77.227234,09-07-2026 21:00:00
Delhi,"Chandni Chowk, Delhi - IITM",PM10,,28.656756,77.227234,09-07-2026 21:00:00
Delhi,"Chandni Chowk, Delhi - IITM",NO2,12,28.656756,77.227234,09-07-2026 21:00:00
Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",PM2.5,63,23.023389,72.515201,09-07-2026 21:00:00
Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",OZONE,28,23.023389,72.515201,09-07-2026 21:00:00
Ahmedabad,"Maninagar, Ahmedabad - GPCB",NO2,34,23.002657,72.591912,09-07-2026 21:00:00
Ahmedabad,"Maninagar, Ahmedabad - GPCB",CO,62,23.002657,72.591912,09-07-2026 21:00:00
Ahmedabad,"Chandkheda, Ahmedabad - IITM",NO2,12,23.107969,72.574648,09-07-2026 21:00:00
Ahmedabad,"Chandkheda, Ahmedabad - IITM",NH3,4,23.107969,72.574648,09-07-2026 21:00:00
Ahmedabad,"Chandkheda, Ahmedabad - IITM",OZONE,8,23.107969,72.574648,09-07-2026 21:00:00
Ahmedabad,"Raikhad, Ahmedabad - IITM",PM2.5,33,23.020509,72.579261,09-07-2026 21:00:00
Ahmedabad,"Raikhad, Ahmedabad - IITM",NO2,12,23.020509,72.579261,09-07-2026 21:00:00
Ahmedabad,"Raikhad, Ahmedabad - IITM",NH3,10,23.020509,72.579261,09-07-2026 21:00:00
Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",PM2.5,61,23.041137,72.456691,09-07-2026 21:00:00
Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",NH3,2,23.041137,72.456691,09-07-2026 21:00:00
Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",OZONE,24,23.041137,72.456691,09-07-2026 21:00:00
Ahmedabad,"Gyaspur, Ahmedabad - IITM",NH3,24,22.977134,72.553024,09-07-2026 21:00:00
Delhi,"Anand Vihar, Delhi - DPCC",PM2.5,54,28.647622,77.315809,09-07-2026 21:00:00
Delhi,"Ashok Vihar, Delhi - DPCC",NH3,10,28.695381,77.181665,09-07-2026 21:00:00
